Probe Results,,,,,,,,,,,
Time (ss.tt),Distance (cm),#1 (C),#2 (C),#3 (C),#4 (C),#5 (C),#6 (C),#7 (C),#8 (C),#9 (C),#10 (C)
0,0,22.8,22.7,22.5,22.5,22.6,23.4,22.8,22.8,22.8,22.2
0.4,0.6,22.8,22.7,22.5,22.5,22.6,23.4,22.8,22.8,22.8,22.2
0.8,1.3,22.8,22.7,22.5,22.5,22.6,23.4,22.8,22.8,22.8,22.2
1.2,1.9,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
1.6,2.5,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
2,3.2,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
2.4,3.8,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
2.8,4.4,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
3.2,5.1,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
3.6,5.7,22.8,22.7,22.5,22.5,22.6,23.4,22.8,22.8,22.8,22.2
4,6.3,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
4.4,7,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
4.8,7.6,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
5.2,8.2,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
5.6,8.9,22.8,22.7,22.5,22.5,22.6,23.4,22.8,22.8,22.8,22.2
6,9.5,22.8,22.7,22.4,22.5,22.6,23.4,22.8,22.8,22.8,22.2
6.4,10.1,22.8,22.7,22.5,22.5,22.6,23.3,22.8,22.8,22.8,22.2
6.8,10.8,22.8,22.8,22.4,22.5,22.6,23.3,22.8,22.8,22.8,22.2
7.2,11.4,22.8,22.7,22.4,22.5,22.6,23.2,22.8,22.8,22.8,22.2
7.6,12,22.8,22.8,22.4,22.5,22.6,23.2,22.8,22.8,22.8,22.2
8,12.7,22.8,22.8,22.4,22.5,22.6,23.1,22.8,22.8,22.9,22.2
8.4,13.3,22.8,22.8,22.4,22.5,22.6,23.1,22.8,22.9,22.8,22.2
8.8,13.9,22.8,22.8,22.4,22.5,22.6,23,22.8,22.8,22.8,22.2
9.2,14.6,22.8,22.8,22.4,22.5,22.6,23,22.8,22.8,22.8,22.2
9.6,15.2,22.8,22.8,22.4,22.5,22.6,22.9,22.8,22.8,22.8,22.2
10,15.8,22.8,22.8,22.4,22.5,22.6,22.9,22.8,22.9,22.8,22.2
10.4,16.5,22.8,22.8,22.4,22.5,22.6,22.9,22.8,22.8,22.8,22.2
10.8,17.1,22.8,22.8,22.4,22.5,22.6,22.9,22.8,22.8,22.8,22.2
11.2,17.7,22.8,22.8,22.5,22.5,22.6,22.9,22.8,22.9,22.9,22.2
11.6,18.4,22.8,22.8,22.5,22.5,22.6,22.9,22.8,22.9,22.8,22.2
12,19,22.8,22.8,22.5,22.5,22.6,22.9,22.8,22.8,22.8,22.1
12.4,19.6,22.8,22.8,22.6,22.5,22.6,22.9,22.8,22.8,22.8,22.2
12.8,20.3,22.8,22.8,22.6,22.5,22.6,22.9,22.8,22.8,22.9,22.2
13.2,20.9,22.8,22.8,22.6,22.5,22.6,22.8,22.8,22.8,22.8,22.2
13.6,21.5,22.8,22.8,22.6,22.5,22.7,22.8,22.8,22.9,22.9,22.2
14,22.2,22.8,22.8,22.6,22.5,22.7,22.8,22.8,22.8,22.8,22.2
14.4,22.8,22.8,22.8,22.6,22.5,22.7,22.8,22.8,22.8,22.8,22.1
14.8,23.4,22.8,22.8,22.7,22.5,22.8,22.8,22.8,22.8,22.9,22.2
15.2,24.1,22.8,22.8,22.7,22.5,22.8,22.8,22.8,22.8,22.9,22.2
15.6,24.7,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.8,22.9,22.2
16,25.3,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.8,22.9,22.2
16.4,26,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.8,22.9,22.2
16.8,26.6,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.9,22.9,22.2
17.2,27.2,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.8,22.9,22.2
17.6,27.9,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.9,22.9,22.2
18,28.5,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.9,22.9,22.3
18.4,29.1,22.7,22.7,22.7,22.4,22.7,22.8,22.8,22.8,22.8,22.1
18.8,29.8,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.9,22.9,22.2
19.2,30.4,22.8,22.8,22.8,22.6,22.8,22.8,22.8,22.8,22.9,22.2
19.6,31,22.8,22.8,22.8,22.6,22.9,22.8,22.8,22.9,22.9,22.3
20,31.7,22.8,22.8,22.9,22.6,22.9,22.8,22.8,22.9,22.9,22.3
20.4,32.3,22.8,22.8,22.9,22.6,22.8,22.8,22.8,22.9,22.9,22.3
20.8,32.9,22.8,22.8,22.9,22.6,22.8,22.8,22.8,22.9,22.9,22.3
21.2,33.6,22.8,22.8,22.9,22.6,22.8,22.8,22.8,22.9,22.9,22.3
