Probe Results,,,,,,,,,,,
Time (ss.tt),Distance (cm),#1 (C),#2 (C),#3 (C),#4 (C),#5 (C),#6 (C),#7 (C),#8 (C),#9 (C),#10 (C)
0,0,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
0.4,0.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
0.8,1.3,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
1.2,1.9,21.6,21.6,21.6,21.5,21.6,21.6,21.6,21.6,21.6,21.6
1.6,2.5,21.6,21.6,21.6,21.5,21.6,21.6,21.6,21.6,21.6,21.6
2,3.2,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
2.4,3.8,21.6,21.6,21.6,21.5,21.6,21.6,21.6,21.6,21.6,21.5
2.8,4.4,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
3.2,5.1,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
3.6,5.7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
4,6.3,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
4.4,7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
4.8,7.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
5.2,8.2,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
5.6,8.9,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
6,9.5,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
6.4,10.1,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
6.8,10.8,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
7.2,11.4,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
7.6,12,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
8,12.7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
8.4,13.3,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
8.8,13.9,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
9.2,14.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
9.6,15.2,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
10,15.8,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
10.4,16.5,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
10.8,17.1,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
11.2,17.7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
